iter	Logloss
0	0.6637805871
1	0.6405736377
2	0.6199353211
3	0.6044608106
4	0.5907917335
5	0.5784474031
6	0.5661352491
7	0.5573930322
8	0.5492560506
9	0.5419732014
10	0.5365057385
11	0.5310323599
12	0.5264661548
13	0.5220826954
14	0.5188277669
15	0.5153170662
16	0.512917789
17	0.5108114966
18	0.5079969245
19	0.5052106516
20	0.5027678864
21	0.499354874
22	0.4976959328
23	0.4955283254
24	0.4936908355
25	0.4917581355
26	0.4900935984
27	0.4883214605
28	0.4868348727
29	0.4844006611
30	0.482262632
31	0.4801626549
32	0.47893072
33	0.4777714118
34	0.4765172133
35	0.474960477
36	0.4738565281
37	0.4725554441
38	0.4714746382
39	0.4700676719
40	0.4683848283
41	0.4670420149
42	0.4652358619
43	0.4640450568
44	0.462730023
45	0.4621137558
46	0.4603991755
47	0.4587672146
48	0.4578520869
49	0.4572226694
50	0.4562625348
51	0.4553885769
52	0.4542893445
53	0.4535567628
54	0.4528272188
55	0.4517574448
56	0.4507095747
57	0.4496642627
58	0.4486998912
59	0.4477313228
60	0.4470197257
61	0.4465328434
62	0.4456408188
63	0.4441708188
64	0.4433176856
65	0.442620318
66	0.4419976155
67	0.4411117863
68	0.4405858927
69	0.4398216143
70	0.4388612399
71	0.4379822857
72	0.4373069818
73	0.4365561734
74	0.4356311331
75	0.4344202627
76	0.4338590351
77	0.4332039164
78	0.4324202122
79	0.4317527826
80	0.4310086493
81	0.4304071712
82	0.4298242795
83	0.4290613201
84	0.428221697
85	0.4275178941
86	0.4268976697
87	0.426333804
88	0.4257298078
89	0.4250714915
90	0.4244695737
91	0.4240167464
92	0.4233149021
93	0.4228274202
94	0.4222019997
95	0.4216110339
96	0.4210807036
97	0.4206516188
98	0.4200700861
99	0.4193462979
100	0.4188499426
101	0.4181387851
102	0.4175469799
103	0.4169646877
104	0.4166078299
105	0.4157771602
106	0.4152686938
107	0.4147505545
108	0.4141587493
109	0.413840663
110	0.4131729136
111	0.4127591776
112	0.4122265689
113	0.4117948061
114	0.4112735091
115	0.4109024218
116	0.410530535
117	0.4101076057
118	0.4094907789
119	0.4090670503
120	0.4083523753
121	0.4078619357
122	0.4074665861
123	0.407059885
124	0.4064714373
125	0.4060325198
126	0.4055729774
127	0.405212922
128	0.4047843568
129	0.4042648186
130	0.4038100327
131	0.4032960104
132	0.4029291599
133	0.4025777381
134	0.4020888173
135	0.4016622107
136	0.4013128274
137	0.4008481688
138	0.4004790001
139	0.4000992391
140	0.3997268327
141	0.3994127834
142	0.3990469322
143	0.3986073752
144	0.398204791
145	0.397771989
146	0.3972227525
147	0.3969279691
148	0.3964416864
149	0.3960377831
150	0.3954531327
151	0.3950957153
152	0.3947690753
153	0.3944267668
154	0.3941138767
155	0.3936099269
156	0.3932242103
157	0.3928696708
158	0.392471963
159	0.3921083901
160	0.3917828693
161	0.3913636173
162	0.3909364911
163	0.3906487825
164	0.3903340138
165	0.3899957823
166	0.3896629868
167	0.3893788756
168	0.3890810943
169	0.3887159626
170	0.3884099075
171	0.3880033262
172	0.3877281684
173	0.3874071242
174	0.3871530709
175	0.3868598863
176	0.3865993977
177	0.386348502
178	0.385996001
179	0.3856405022
180	0.3853991595
181	0.3851446665
182	0.3847704215
183	0.3844773568
184	0.3839710488
185	0.383663155
186	0.3833866382
187	0.3831414183
188	0.3825962589
189	0.3823050328
190	0.3820354709
191	0.3817678275
192	0.3814647302
193	0.3811616329
194	0.3808847164
195	0.3803556651
196	0.3800657981
197	0.3798203784
198	0.3796136103
199	0.3793407308
200	0.3791140173
201	0.378722545
202	0.378477525
203	0.3782819487
204	0.3778885977
205	0.3775089566
206	0.3771772803
207	0.3769170715
208	0.3765085716
209	0.3762496419
210	0.3759780014
211	0.3757685154
212	0.375691452
213	0.3754939171
214	0.3752295513
215	0.3750087935
216	0.3745869835
217	0.374402479
218	0.3741961106
219	0.3739267885
220	0.3736551481
221	0.3733988564
222	0.373199283
223	0.3729800841
224	0.3727376622
225	0.3723716911
226	0.3722029351
227	0.3719442052
228	0.3716364713
229	0.371355038
230	0.3710789209
231	0.3708345005
232	0.3706239352
233	0.3704289584
234	0.3701446074
235	0.3699426357
236	0.369765286
237	0.3695880563
238	0.3693132182
239	0.3690905418
240	0.3689012009
241	0.3686807629
242	0.3684811895
243	0.3682493199
244	0.3679881517
245	0.3676852143
246	0.3675020689
247	0.3674367569
248	0.3672575285
249	0.3670181045
250	0.3667633316
251	0.3665339802
252	0.3662838439
253	0.3661021374
254	0.3658837779
255	0.3657072676
256	0.3655337151
257	0.3653606822
258	0.3651452805
259	0.3649325967
260	0.3647764714
261	0.3643907548
262	0.3641504914
263	0.3639866517
264	0.3637771257
265	0.3635736751
266	0.363255429
267	0.3632027077
268	0.3630248784
269	0.3628748286
270	0.3626760147
271	0.3625179708
272	0.3622857014
273	0.3621341728
274	0.3618472236
275	0.3617102442
276	0.3615235015
277	0.3613611407
278	0.3610812664
279	0.3609073941
280	0.360866664
281	0.3606771633
282	0.3604530479
283	0.3602830528
284	0.3600590974
285	0.3599252357
286	0.3597536418
287	0.3597215854
288	0.359573734
289	0.3595230512
290	0.3593537756
291	0.3591801032
292	0.3589234518
293	0.3588869186
294	0.3586106816
295	0.3583653018
296	0.3581562155
297	0.3579901775
298	0.3578137871
299	0.3576407542
300	0.3576008635
301	0.3574094042
302	0.3572744233
303	0.3571335269
304	0.3568817918
305	0.3566969276
306	0.3564530668
307	0.3564073004
308	0.3562274726
309	0.3560660711
310	0.3558928384
311	0.3557712877
312	0.3556001734
313	0.3554398113
314	0.355289042
315	0.3551582182
316	0.3551259619
317	0.3549835865
318	0.3549536884
319	0.3547873307
320	0.3546104206
321	0.3544753998
322	0.3543167164
323	0.3540839275
324	0.3540575069
325	0.3539561014
326	0.3537993366
327	0.3537566479
328	0.3535631101
329	0.353421774
330	0.3532487811
331	0.3530578014
332	0.3529096702
333	0.3527688137
334	0.3526196433
335	0.3525024894
336	0.3523268984
337	0.3521629388
338	0.3520346331
339	0.3519963013
340	0.3517592355
341	0.351633328
342	0.3514746445
343	0.3513153616
344	0.3511482843
345	0.3509819665
346	0.3508319567
347	0.3508059758
348	0.3506482117
349	0.3506120783
350	0.3504176611
351	0.3503929593
352	0.3502860778
353	0.3501304322
354	0.3499639945
355	0.3498275347
356	0.3497139382
357	0.3495754
358	0.3494254301
359	0.3493174295
360	0.349197038
361	0.3490480674
362	0.3487578406
363	0.348589964
364	0.3483822766
365	0.3482541707
366	0.3480256986
367	0.3479005505
368	0.347776002
369	0.3476598873
370	0.3473878872
371	0.3473646243
372	0.3472140949
373	0.3471083326
374	0.3468980471
375	0.3467383644
376	0.3465479443
377	0.3463820662
378	0.3462508026
379	0.346116821
380	0.3458797952
381	0.3457523688
382	0.3456279003
383	0.3456005604
384	0.3454401982
385	0.3452598907
386	0.3451307855
387	0.3449197006
388	0.3448208932
389	0.3447016208
390	0.3445669997
391	0.3443113076
392	0.3440867526
393	0.3439170373
394	0.3438918158
395	0.3438586402
396	0.3437258577
397	0.3436155388
398	0.3434357909
399	0.3433418998
400	0.3432615589
401	0.3431207024
402	0.3429422335
403	0.3427867477
404	0.3425922506
405	0.3425733445
406	0.3424579093
407	0.3423098181
408	0.3421128029
409	0.3419855364
410	0.3418618672
411	0.3417484706
412	0.3416207644
413	0.341511085
414	0.3413357738
415	0.3412462795
416	0.3411260878
417	0.3409905075
418	0.340852249
419	0.3407204659
420	0.340595118
421	0.3404701698
422	0.3404209259
423	0.3403019733
424	0.3401762657
425	0.3400477201
426	0.3398868383
427	0.339792068
428	0.3396935404
429	0.3395544825
430	0.3394199014
431	0.3393182961
432	0.3391683262
433	0.3390389013
434	0.338916831
435	0.3387734963
436	0.3386843618
437	0.3385604529
438	0.33842831
439	0.338392816
440	0.3382342925
441	0.3381099039
442	0.3379808787
443	0.3378516137
444	0.337751847
445	0.3376011577
446	0.3374150144
447	0.337309452
448	0.3372039695
449	0.3371857829
450	0.3370847371
451	0.3369767365
452	0.3368550658
453	0.3367260406
454	0.3367089732
455	0.3366229564
456	0.3364910933
457	0.3363738994
458	0.3362748521
459	0.3361773238
460	0.3360676044
461	0.3359655594
462	0.3357583516
463	0.3355843595
464	0.3354882301
465	0.3352589186
466	0.3351971639
467	0.3350876844
468	0.3350087224
469	0.3349229654
470	0.3348901295
471	0.3348322121
472	0.334708443
473	0.3345897702
474	0.3345732823
475	0.3344619241
476	0.3343944937
477	0.3343061786
478	0.3341415595
479	0.3340562622
480	0.3339336123
481	0.3338081245
482	0.3336315542
483	0.3334926363
484	0.3334697531
485	0.3333430062
486	0.3332195369
487	0.3330487424
488	0.3328497486
489	0.3327452054
490	0.3326483166
491	0.3325706137
492	0.3324998657
493	0.3323829916
494	0.3322448131
495	0.3320872089
496	0.3319929981
497	0.3319027044
498	0.3318675503
499	0.3317409833
500	0.3316236695
501	0.3314823333
502	0.3313564258
503	0.3311853915
504	0.3311248559
505	0.3309551606
506	0.3308564332
507	0.3308261354
508	0.3307888428
509	0.3307071828
510	0.3306930132
511	0.3306244436
512	0.330517742
513	0.3304273884
514	0.3303125927
515	0.330279537
516	0.3301698376
517	0.3300657541
518	0.3299347304
519	0.3298209739
520	0.3298040863
521	0.3297070776
522	0.3296020348
523	0.329533645
524	0.329332293
525	0.3292240725
526	0.3291366567
527	0.3289704588
528	0.3288421931
529	0.328727997
530	0.3286994979
531	0.3286098438
532	0.3284647903
533	0.3283165792
534	0.3281973468
535	0.3281449853
536	0.3280233147
537	0.3279364985
538	0.3278561775
539	0.3277553116
540	0.3276598617
541	0.3275780219
542	0.327500339
543	0.3274230757
544	0.3273279856
545	0.3273007856
546	0.3272744249
547	0.3271672437
548	0.3271513154
549	0.3271390644
550	0.3270196721
551	0.3269274798
552	0.3269153687
553	0.3267895212
554	0.3267191129
555	0.3266733865
556	0.3265792957
557	0.326567904
558	0.3264459536
559	0.3263179277
560	0.3262082683
561	0.326116136
562	0.3259495583
563	0.325903712
564	0.3258706563
565	0.3258457546
566	0.3258350824
567	0.3257724485
568	0.3256320916
569	0.3255425374
570	0.3254222658
571	0.3253438434
572	0.3252404194
573	0.3251561013
574	0.3250873119
575	0.3249581667
576	0.3249411392
577	0.3248806437
578	0.3247994034
579	0.3246933013
580	0.3245815434
581	0.3245198488
582	0.3244253182
583	0.3243511527
584	0.3242839021
585	0.3241979053
586	0.324134412
587	0.3240079649
588	0.3239541044
589	0.3238561364
590	0.3237741567
591	0.3236693337
592	0.3235686077
593	0.3234705397
594	0.3233607204
595	0.3232913514
596	0.3232678287
597	0.3232252599
598	0.3231665631
599	0.3230858024
600	0.3229889935
601	0.3229011381
602	0.3228241746
603	0.3226945499
604	0.322608573
605	0.3224526476
606	0.3223753244
607	0.3222752979
608	0.3222155618
609	0.3221440943
610	0.3220141697
611	0.321885824
612	0.3218065823
613	0.3217280999
614	0.3216093072
615	0.3215640605
616	0.3215192734
617	0.3214581183
618	0.3214481056
619	0.3213766781
620	0.3213668853
621	0.3213098472
622	0.3212062234
623	0.3211842195
624	0.3210703032
625	0.3210409448
626	0.3209463143
627	0.3208962711
628	0.3207894296
629	0.3207048517
630	0.3205594785
631	0.3204738015
632	0.3204615305
633	0.320384627
634	0.3203112209
635	0.3202361561
636	0.3201920685
637	0.3201150051
638	0.3200618841
639	0.3199713906
640	0.3199499863
641	0.3198649089
642	0.3198052727
643	0.3197107022
644	0.3197019286
645	0.3196331192
646	0.3194889851
647	0.3194110823
648	0.3193673144
649	0.3192837359
650	0.319207312
651	0.3191641837
652	0.3190869205
653	0.3189634512
654	0.3188965403
655	0.318803129
656	0.318789439
657	0.3187261056
658	0.3186311753
659	0.318568921
660	0.3184938762
661	0.318432861
662	0.3183587754
663	0.3182679622
664	0.3181926575
665	0.3181303033
666	0.3180950092
667	0.3180515811
668	0.3180307764
669	0.31797154
670	0.3178525474
671	0.3177940903
672	0.317764532
673	0.3177459057
674	0.3176670037
675	0.3176556321
676	0.3175320429
677	0.3174534406
678	0.317259663
679	0.3171835589
680	0.3170863503
681	0.3169972358
682	0.316933043
683	0.3168992478
684	0.316844568
685	0.3167353882
686	0.316565453
687	0.3165475462
688	0.3164574724
689	0.316407569
690	0.3163005676
691	0.3162886564
692	0.3162088151
693	0.3161973635
694	0.3160670192
695	0.3160103809
696	0.3159246039
697	0.3159057377
698	0.3158712231
699	0.3157947793
700	0.3156337376
701	0.3155536364
702	0.3155456023
703	0.3154633827
704	0.3153477077
705	0.3152727228
706	0.3151732959
707	0.3150484876
708	0.3149978248
709	0.3149368496
710	0.3148182967
711	0.3148072448
712	0.3147276633
713	0.3146386687
714	0.3145605661
715	0.3144614389
716	0.3144252255
717	0.3143430858
718	0.3143331132
