Rates,Columns
-0.8937235874495413,Age
0.6663830897498554,SalaryUSD
0.4257913876842098,YearsCodePro
0.33124997269602646,Country_Afghanistan
0.7085106769908467,Country_Albania
0.6236654187108344,Country_Algeria
0.14440594458376851,Country_Andorra
-0.7208759630450793,Country_Angola
-0.12620775252333713,Country_Argentina
0.26602957559171386,Country_Armenia
0.21102421031719332,Country_Australia
0.30063651338980824,Country_Austria
0.060591566964982746,Country_Azerbaijan
0.29101569759608437,Country_Bahamas
-0.004738131412167289,Country_Bahrain
-0.1570190426078589,Country_Bangladesh
-0.3679409314714906,Country_Barbados
0.0619863837110362,Country_Belarus
0.45299499256596965,Country_Belgium
-0.21149455690431745,Country_Benin
0.3596218660998143,Country_Bhutan
-0.610704295692264,Country_Bolivia
-0.05264707142823501,Country_Bosnia and Herzegovina
0.6252539591985662,Country_Botswana
-0.0620031158309682,Country_Brazil
0.16979911095725933,Country_Brunei Darussalam
0.40555077691024344,Country_Bulgaria
-0.33773198785235936,Country_Burkina Faso
0.1356332407576477,Country_Cambodia
0.3054770615888245,Country_Cameroon
0.29819945585779917,Country_Canada
0.23157755527837715,Country_Chile
-0.6533889189490943,Country_China
-0.2828644133343761,Country_Colombia
0.09023036377103,Country_Costa Rica
0.5138226282280485,Country_Croatia
0.014795700437246768,Country_Cuba
0.7685464036029352,Country_Cyprus
0.14571003804049656,Country_Czech Republic
0.336900081693541,Country_Côte d'Ivoire
0.1828968922092457,Country_Democratic Republic of the Congo
0.4386046001235073,Country_Denmark
-0.6244763317954232,Country_Dominican Republic
0.047637020513077465,Country_Ecuador
-0.24492451490691122,Country_Egypt
-0.46046816188337647,Country_El Salvador
0.34468603554101956,Country_Estonia
-0.18549060224364905,Country_Ethiopia
0.4461877484807626,Country_Finland
-0.0655691475949246,Country_France
0.1950029918514073,Country_Georgia
0.11064085485159438,Country_Germany
1.0953920956838226,Country_Ghana
-0.07909029781397041,Country_Greece
-0.24075827683245177,Country_Guatemala
-0.356396560618132,Country_Guinea
0.35533417921695243,Country_Guyana
0.17261750304537135,Country_Haiti
0.37177896972418123,Country_Honduras
0.05789544780661575,Country_Hong Kong (S.A.R.)
0.08676221403545183,Country_Hungary
-0.06188760712237385,Country_Iceland
-0.03735751162352727,Country_India
-0.12886059858613758,Country_Indonesia
-0.021383951633501447,Country_Iran
0.3799658847448204,Country_Iraq
-0.169524313721582,Country_Ireland
0.5730665145865138,Country_Isle of Man
-0.25358988405430916,Country_Israel
-0.034293407340277506,Country_Italy
-0.018457114694589494,Country_Jamaica
-0.2005160240074475,Country_Japan
-0.5768964854366522,Country_Jordan
0.20151765855330772,Country_Kazakhstan
-0.08989543549868018,Country_Kenya
-0.3166187657777614,Country_Kosovo
-0.19705072398042645,Country_Kuwait
-0.6962444541573387,Country_Kyrgyzstan
-0.21795627568548245,Country_Lao People's Democratic Republic
0.29592678738121764,Country_Latvia
-0.4844916706094553,Country_Lebanon
0.6045438245734795,Country_Lithuania
0.3736367673973839,Country_Luxembourg
-0.18849954948513845,Country_Madagascar
-0.4353966814473295,Country_Malawi
-0.1897136169400539,Country_Malaysia
0.1864761503003771,Country_Maldives
1.5038115875110674,Country_Malta
-0.43898298861541446,Country_Mauritius
-0.18382212004416493,Country_Mexico
-0.3849448245541873,Country_Monaco
-0.17784462583023447,Country_Mongolia
-0.5330440932618576,Country_Montenegro
-0.2326378554889486,Country_Morocco
-0.28283900738105267,Country_Myanmar
0.1728517010165214,Country_Namibia
0.07457232882617557,Country_Nepal
0.1737791784165865,Country_Netherlands
0.22312150790210486,Country_New Zealand
-0.42017612775008223,Country_Nicaragua
-0.37765271092571395,Country_Niger
-0.14913518191666392,Country_Nigeria
0.6572734261016361,Country_Nomadic
0.20337081320254066,Country_Norway
0.44908847461726636,Country_Oman
0.05231323921617397,Country_Pakistan
-0.6282595772274794,Country_Panama
0.5746638574377637,Country_Paraguay
0.03019567197112885,Country_Peru
0.20293871809857222,Country_Philippines
-0.06044303906777336,Country_Poland
-0.16620348725423345,Country_Portugal
-0.5905168978766477,Country_Qatar
-0.09222374595658026,Country_Republic of Korea
-0.5206077314934159,Country_Republic of Moldova
0.08328323095338182,Country_Romania
-0.07844615567668277,Country_Russian Federation
-0.8857075735176083,Country_Rwanda
0.1511859035653729,Country_San Marino
0.17591532668059967,Country_Saudi Arabia
-0.21267644872161248,Country_Senegal
0.17032140747387126,Country_Serbia
-0.15594876971423402,Country_Singapore
0.2228731064702121,Country_Slovakia
0.060134791647659946,Country_Slovenia
0.691398962489755,Country_Somalia
0.3655604771258831,Country_South Africa
0.41972842022466633,Country_South Korea
-0.24530525616220095,Country_Spain
0.22206146115253117,Country_Sri Lanka
-0.6811125638001896,Country_Sudan
0.3710418846574172,Country_Swaziland
0.48212465722712206,Country_Sweden
0.21519174406363498,Country_Switzerland
-0.5986884712791882,Country_Syrian Arab Republic
-0.13760212902865973,Country_Taiwan
0.19373008181568735,Country_Thailand
0.36019122267324183,Country_The former Yugoslav Republic of Macedonia
-0.3134264746515345,Country_Togo
-0.6811648696314745,Country_Trinidad and Tobago
-0.7892286373847931,Country_Tunisia
0.004599990530374806,Country_Turkey
0.17492316270850589,Country_Turkmenistan
-0.6274763821180326,Country_Uganda
-0.0031695488123880938,Country_Ukraine
-0.5482425263774104,Country_United Arab Emirates
0.13457324200578566,Country_United Kingdom
-0.4460146414306394,Country_United Republic of Tanzania
0.22634803148490742,Country_United States
0.3351340210336009,Country_Uruguay
-0.04971055181074406,Country_Uzbekistan
